,EG.ELC.ACCS.ZS,AG.LND.AGRI.ZS,NV.AGR.TOTL.ZS,ER.H2O.FWTL.ZS,MS.MIL.TOTL.TF.ZS,FB.ATM.TOTL.P5,FB.CBK.BRWR.P3,DT.DOD.ALLC.ZS,per_allsp.cov_pop_tot,FB.CBK.DPTR.P3,SE.COM.DURS,EG.ELC.HYRO.ZS,EG.ELC.FOSL.ZS,EG.IMP.CONS.ZS,BN.KLT.DINV.CD,BM.KLT.DINV.WD.GD.ZS,AG.LND.FRST.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD,NY.GDP.PCAP.CD,NV.IND.TOTL.ZS,DT.INT.DECT.GN.ZS,IT.NET.USER.P2,NV.IND.MANF.ZS,CM.MKT.LCAP.GD.ZS,MS.MIL.XPND.GD.ZS,IT.CEL.SETS.P2,GC.FIN.FRGN.GD.ZS,DT.ODA.ODAT.GI.ZS,BN.GSR.MRCH.CD,EN.ATM.GHGO.ZG,BX.TRF.PWKR.DT.GD.ZS,EN.POP.DNST,DT.DOD.PVLX.GN.ZS,EG.ELC.RNEW.ZS,NV.SRV.TETC.ZS,DT.DOD.DSTC.IR.ZS,GC.REV.SOCL.ZS,CM.MKT.TRAD.GD.ZS,GC.TAX.EXPT.ZS,GC.TAX.GSRV.RV.ZS,NE.TRD.GNFS.ZS,BG.GSR.NFSV.GD.ZS,BM.GSR.TRVL.ZS,AG.LND.EL5M.UR.ZS,SE.ADT.1524.LT.ZS,country_code,GDPdelta,GDPpercentgrowth,country_name,region_East Asia & Pacific,region_Europe & Central Asia,region_Latin America & Caribbean,region_Middle East & North Africa,region_North America,region_South Asia,region_Sub-Saharan Africa,region,growthInd
179,0.0,4.74528809908,1.32338835807,94.3571428571,4.34112109793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-257.407379465,-2371131339.4,0.36562848778,0.0064620355412,50459644560.0,52473168617.3,18902.6238217,62.5528265584,0.0,21.16,10.9390344567,47.8799796053,9.04618679714,123.501691218,0.320045971933,0.959274500804,12986736020.8,-97.9655963684,0.0791239801624,8.62477544426,0.0,0.0,36.1237850836,0.0,0.0,14.3074720343,0.0,0.0,92.4719265322,14.4778866583,15.255951397,0.0,97.6298217773,OMN,6154486345.9,12.6285455079,Oman,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Middle East & North Africa,0
181,0.0,46.0958039297,23.3601781469,0.0,1.67878905044,3.31786067567,30.209118644,62.6040666667,14.0306295198,204.292764056,12.0,29.9321810772,67.3953039858,24.0141396723,-4382666666.67,0.0451147797278,2.29996886675,1.63538768567e+11,1.70449380147e+11,1002.1322369,21.2206427834,0.643924862843,7.1,14.2036536814,26.1479267903,3.41219369899,48.8375150877,0.0,7.35177530714,-12503166666.7,3.38063258341,4.41957818849,211.613411512,0.0,29.9321810772,55.4191790697,13.3530880235,0.0,33.6114668746,0.0,31.5960245301,33.5521594401,7.62122564658,14.5492574754,0.0,70.8945884705,PAK,14073879030.2,8.42984375668,Pakistan,0.0,0.0,0.0,0.0,0.0,1.0,0.0,South Asia,0
182,0.0,30.0089678056,4.82740642314,0.0,0.742005094039,35.0367928672,0.0,2.22903333333,65.5465181515,0.0,11.0,58.1557611859,41.553179314,73.7824553753,-1768200000.0,0.630416037553,63.6561743341,24024566666.7,26342411942.2,6858.53668459,20.5529192143,2.55115320399,31.73,7.64410196312,30.7402213764,0.0,121.400044316,0.0,-0.227731100536,-3163033333.33,29.8740833333,1.50132756585,47.0651869787,0.0,58.4615953264,74.6196746589,0.0,0.0,1.01232408804,0.0,0.0,145.58994814,30.6051470562,14.4969265166,0.0,0.0,PAN,7975583976.63,32.1899991112,Panama,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Latin America & Caribbean,1
183,0.0,18.54921875,7.69495056269,0.0,1.29041908926,20.1098007345,119.378702279,10.2433333333,58.2570467656,349.843987437,12.0,61.0718703913,37.5221127928,12.8855037738,-5877725316.88,0.336104439577,58.67015625,1.14978540582e+11,1.32216193397e+11,4011.52173945,38.9216688994,2.00897228911,29.0566666667,17.4048543922,52.7330355191,1.25219789324,70.9942980831,-0.698886890626,1.4938140488,5976384211.21,-69.3393328697,2.027690782,22.3792653646,0.0,62.4778872072,53.3833805379,16.9823041557,9.03440174156,4.45295422374,0.0,36.9696337813,52.2533630177,7.08364033711,21.4786430688,0.0,97.3562164307,PER,30563912329.0,24.6139168939,Peru,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Latin America & Caribbean,1
184,0.0,40.1337044863,12.9402928596,16.4718162839,0.410171703421,13.4510640963,0.0,24.6382333333,0.0,371.89520514,7.0,15.4518639069,67.2997140743,41.3247528267,972152388.068,1.95168723826,23.2538484757,1.63963218199e+11,1.8159757617e+11,1814.95300189,32.5469979847,1.64250754132,7.06333333333,22.2704764556,50.0092648029,1.30307247466,74.0527873707,0.981298850227,1.20201911355,-15490648748.5,444.029760106,11.2279596027,302.85240411,0.0,32.7002859257,54.5127091557,16.2397974303,0.0,10.6108964362,0.0,27.829033758,76.1640200349,13.9239032073,38.1022325675,0.0,97.7508010864,PHL,35286116695.3,20.046352689,Philippines,1.0,0.0,0.0,0.0,0.0,0.0,0.0,East Asia & Pacific,1
185,0.0,10.8695652174,4.60430339913,0.0,0.0,30.996090822,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,-3971922.28443,0.0,87.6086956522,193500000.0,193655622.249,9566.25522013,10.4248308773,0.0,0.0,0.966428132572,0.0,0.0,57.8204967636,0.0,0.0,-97751853.8013,0.0,0.814552303448,43.9775362319,0.0,16.5489272632,84.9708657235,0.0,0.0,0.0,0.0,0.0,123.601465369,62.5189614789,20.4076821545,0.0,0.0,PLW,21292557.0228,10.2714209686,Palau,1.0,0.0,0.0,0.0,0.0,0.0,0.0,East Asia & Pacific,0
186,0.0,2.51733427549,0.0,0.0489513108614,0.105381788976,4.77843873102,0.0,48.0883666667,4.24365934326,0.0,0.0,0.0,0.0,0.0,-160928016.014,0.0586887187395,74.1469769907,7482026598.25,8499798077.28,1142.24948351,0.0,0.62380306125,1.51685312047,0.0,186.753063142,0.584471827729,13.0577105158,0.0,0.0,2101707848.88,-89.9398682997,0.0901513187078,14.4426798569,0.0,26.8694744528,0.0,3.23776237132,0.0,0.669340013611,0.0,0.0,0.0,29.6272219368,2.92777743617,0.0,0.0,PNG,2598777203.14,32.5893801565,Papua New Guinea,1.0,0.0,0.0,0.0,0.0,0.0,0.0,East Asia & Pacific,1
187,0.0,50.8096745314,3.06446955452,22.4440298507,0.770132914433,42.4816044745,213.899059153,0.0,72.1821531849,0.0,12.0,1.48135002443,95.5088712018,27.0001639837,-11815666666.7,1.33606076315,30.2886096946,4.65141493256e+11,4.48578361468e+11,12198.1159377,32.9671134239,0.0,53.5666666667,18.5578973637,33.6904724857,1.85919112839,113.571440544,1.17291070323,0.0,-22657000000.0,-87.7988877404,2.09663054512,124.494421974,0.0,4.47774150685,63.9684170216,0.0,37.5519971534,14.5843969612,0.0,37.4577222033,79.4558925563,12.9897399226,31.3068938376,0.0,0.0,POL,48956389082.3,11.2984998728,Poland,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Europe & Central Asia,0
189,0.0,21.488162345,0.540946826671,58.6197183099,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,53.3025178504,93183028539.1,1.03280782171e+11,24777.3190803,89.33421957,0.0,35.7866666667,43.5083273117,0.0,0.0,68.7286771143,0.0,0.0,0.0,-90.1556670309,0.0,424.061292747,0.0,0.673429570929,10.1248336033,0.0,0.0,0.0,0.0,0.0,141.530859374,0.0,0.0,0.0,0.0,PRI,-7175106670.32,-6.81018021081,Puerto Rico,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Latin America & Caribbean,-1
190,0.0,21.9250892783,0.0,12.9223880597,9.07712815968,0.0,0.0,0.0,0.0,0.0,11.0,60.4974323743,39.5025676257,-5.18412902544,0.0,0.0,49.1587077485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0947280809245,0.0,0.0,0.0,56.8970602135,0.0,201.333167234,0.0,60.4946947346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9996871948,PRK,0.0,0.0,"Korea, Dem. People's Rep.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,East Asia & Pacific,-1
